"id","name","lat","lon","trip_starts","trip_start_members","trip_start_casuals","trip_ends","trip_end_members","trip_end_casuals","total_trip_activity"
"13132","Damen Ave & Chicago Ave",41.8957351954231,-87.6771741497743,11478,6697,4781,11878,7012,4866,23356
"15539","Desplaines St & Jackson Blvd",41.8777564849283,-87.6440103228239,11712,8338,3374,11540,8297,3243,23252
"TA1309000037","Kimbark Ave & 53rd St",41.7995812737379,-87.5947502202752,11457,6974,4483,11732,7320,4412,23189
"TA1309000004","LaSalle St & Jackson Blvd",41.8782255411135,-87.6318801646893,11689,8422,3267,11343,8774,2569,23032
"13157","Aberdeen St & Jackson Blvd",41.8777302685623,-87.6547907283257,11570,8107,3463,11380,7932,3448,22950
"TA1307000163","Clifton Ave & Armitage Ave",41.9182127684685,-87.6569435005472,11321,7205,4116,11595,7472,4123,22916
"TA1307000061","State St & Pearson St",41.8974534431826,-87.628719698925,11982,6886,5096,10882,6402,4480,22864
"TA1309000002","Michigan Ave & Jackson Blvd",41.8778397393962,-87.6240766523274,11516,3669,7847,11181,3418,7763,22697
"TA1309000042","Lincoln Ave & Belmont Ave",41.9393564765936,-87.6683492068921,11177,6966,4211,11331,7196,4135,22508
"TA1305000034","Honore St & Division St",41.9031249291466,-87.6739065862277,11146,5551,5595,11185,5753,5432,22331
"TA1305000020","Ogden Ave & Chicago Ave",41.8963578096402,-87.6540485774446,11107,6259,4848,11080,6563,4517,22187
"620","Orleans St & Chestnut St (NEXT Apts)",41.8981778367862,-87.6375188486874,11314,6781,4533,10634,6236,4398,21948
"TA1309000006","Larrabee St & Armitage Ave",41.9180845875421,-87.6437478896166,11087,6678,4409,10683,6463,4220,21770
"13156","Aberdeen St & Monroe St",41.8804235621597,-87.6555231062316,10820,6985,3835,10747,7368,3379,21567
"13194","Ogden Ave & Race Ave",41.8917941846591,-87.6587677433733,10477,7123,3354,10764,7101,3663,21241
"13136","Damen Ave & Division St",41.9032692241807,-87.6784357020773,10423,5830,4593,10791,6159,4632,21214
"KA1503000015","Wabash Ave & Adams St",41.8794867030047,-87.6257233192785,10608,5341,5267,10543,5231,5312,21151
"TA1307000048","Fort Dearborn Dr & 31st St",41.8385533404128,-87.6082086747166,10555,4519,6036,10511,4278,6233,21066
"13224","Ashland Ave & Blackhawk St",41.9070615530261,-87.6672387029874,10445,5793,4652,10585,5951,4634,21030
"13229","Southport Ave & Belmont Ave",41.9394510399328,-87.6637487881822,10293,5225,5068,10288,5331,4957,20581
"13085","Kedzie Ave & Milwaukee Ave",41.9295651300689,-87.7078569164243,9572,4111,5461,11002,4664,6338,20574
"13409","Sangamon St & Washington Blvd",41.8831488775295,-87.6510830125167,10236,6216,4020,10328,6153,4175,20564
"TA1307000130","Morgan St & Polk St",41.8717832339425,-87.6510390448613,10175,8418,1757,10316,8566,1750,20491
"13196","Carpenter St & Huron St",41.8945580638188,-87.6534316666679,10518,6129,4389,9627,5575,4052,20145
"13084","California Ave & Milwaukee Ave",41.9226740937715,-87.6971283980624,9906,4789,5117,10233,5013,5220,20139
"KA1504000146","Clark St & Berwyn Ave",41.9779928118607,-87.6680748568991,9699,5467,4232,10346,5781,4565,20045
"TA1309000030","Southport Ave & Clybourn Ave",41.9207637711047,-87.6637073708046,9633,5580,4053,10380,5866,4514,20013
"KA1504000104","Paulina St & Flournoy St",41.8730031744023,-87.6690975529722,10113,8254,1859,9807,8300,1507,19920
"636","Orleans St & Hubbard St",41.8899928756056,-87.6366167184064,10030,6775,3255,9723,6564,3159,19753
"13006","LaSalle St & Washington St",41.8826931943075,-87.632538991449,9899,6669,3230,9849,6581,3268,19748
"13289","Eckhart Park",41.8963790529514,-87.6609795107164,9926,5940,3986,9773,5747,4026,19699
"18062","Aberdeen St & Randolph St",41.8841275556006,-87.6542554411436,9635,5807,3828,9989,6259,3730,19624
"TA1307000121","Halsted St & Polk St",41.8718328211359,-87.6466586108957,9733,7931,1802,9850,8133,1717,19583
"13150","Michigan Ave & 18th St",41.8578348094794,-87.6245539085348,9763,6136,3627,9751,6137,3614,19514
"KA1503000044","Rush St & Hubbard St",41.8901741625629,-87.6262351052607,9826,5503,4323,9541,5278,4263,19367
"TA1305000037","Paulina Ave & North Ave",41.9101398324775,-87.6700118020745,9646,5349,4297,9612,5476,4136,19258
"TA1309000064","Wolcott Ave & Polk St",41.8712723327501,-87.6736825003125,9643,8152,1491,9526,8251,1275,19169
"13216","State St & 33rd St",41.8347384649914,-87.6258095464237,9468,8047,1421,9698,8288,1410,19166
"13102","Calumet Ave & 18th St",41.8576363123032,-87.6194225071945,9499,5708,3791,9538,5822,3716,19037
"TA1309000008","Franklin St & Adams St (Temp)",41.879384542511,-87.6354382711652,9482,5525,3957,9472,5295,4177,18954
"13160","May St & Taylor St",41.869473930409,-87.6554813072369,9582,7150,2432,9360,6737,2623,18942
"18003","Fairbanks St & Superior St",41.8957477254022,-87.6201515040828,9242,6100,3142,9411,6392,3019,18653
"639","Lakefront Trail & Wilson Ave",41.9658017134908,-87.6453856709599,9344,4908,4436,9277,4612,4665,18621
"SL-012","Wabash Ave & 16th St",41.8603992747294,-87.6258112326031,9330,6204,3126,9082,6004,3078,18412
"13074","Broadway & Wilson Ave",41.9652174304844,-87.6581692509819,9056,5557,3499,9272,5763,3509,18328
"13247","Ashland Ave & Chicago Ave",41.8958836795573,-87.6677218166443,9188,5610,3578,9124,5382,3742,18312
"13290","Noble St & Milwaukee Ave",41.9006789463875,-87.6625844930583,9241,5891,3350,8985,5622,3363,18226
"13075","Wentworth Ave & Cermak Rd",41.8530971521496,-87.6319157731361,8837,3524,5313,9365,3734,5631,18202
"TA1309000014","Clark St & Leland Ave",41.9670839774622,-87.6674266645043,9048,5616,3432,8982,5600,3382,18030
"13068","Western Ave & Winnebago Ave",41.9155373248233,-87.6870230650201,8756,4808,3948,9008,5046,3962,17764
"SL-007","State St & Harrison St",41.8740554604722,-87.6277027670932,8836,4083,4753,8840,3949,4891,17676
